DATE/TIME	LASER;PUMP	COMMAND
2022-05-11-16-08-46	;System Warmup;Wait for Beam Loop 2-X (2)	STATUS=?
2022-05-11-16-09-08	;Elapsed Time: 5 min 58 s;Wait for Power Stabilization	STATUS=?
2022-05-11-16-09-24	;Elapsed Time: 6 min 14 s;Wait for Power Stabilization	STATUS=?
2022-05-11-16-09-35	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-09-47	;Wait for warmup...;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-00	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-27	;System Warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-42	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-56	;Maintenance;	STATUS=?
2022-05-11-16-11-06	;1 Error detected !;	STATUS=?
2022-05-11-16-11-20	;;	STATUS=?
2022-05-11-16-13-16	;Maintenance;	STATUS=?
2022-05-11-16-14-19	;Maintenance;	STATUS=?
2022-05-11-16-14-21	;1 Error detected !;	STATUS=?
2022-05-11-16-14-25	;STANDBY;	CLEAR_ERROR
2022-05-12-11-10-50	;STANDBY;	STATUS=?
2022-05-12-11-10-52	;<KEY SWITCH> is On;	STATUS=?
2022-05-12-11-10-56	;STANDBY;	START
2022-05-12-11-11-02	;System Warmup;Turning on pump laser	STATUS=?
2022-05-12-11-12-31	;Elapsed Time: 1 min 30 s;Waiting for pump: 217 s	STATUS=?
2022-05-12-11-12-50	;System Warmup;Waiting for pump: 197 s	STATUS=?
2022-05-12-11-14-23	;System Warmup;Waiting for pump: 105 s	STATUS=?
2022-05-12-11-15-09	;Elapsed Time: 4 min 8 s;Waiting for pump: 58 s	STATUS=?
2022-05-12-11-15-58	;Wait for warmup...;Waiting for pump: 10 s	STATUS=?
2022-05-12-11-16-16	;Elapsed Time: 5 min 15 s;Wait after modelocking	STATUS=?
2022-05-12-11-16-50	;Elapsed Time: 5 min 48 s;Wait for Beam Loop 2-Y (2)	STATUS=?
2022-05-12-11-17-37	;System Warmup;Wait for Power Stabilization	STATUS=?
2022-05-12-11-17-43	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-12-11-19-03	;Wait for warmup...;Wait for Power Stabilization	STATUS=?
2022-05-12-11-19-28	;Shutter is closed;	STATUS=?
2022-05-12-11-19-32	;LASER is RUNNING;	STATUS=?
2022-05-12-11-19-38	;LASER is RUNNING;	STATUS=?
2022-05-12-11-19-41	;Shutter is closed;	STATUS=?
2022-05-12-11-19-53	;Shutter is closed;	SHUTTER:1
2022-05-12-11-20-00	;Shutter is open;	STATUS=?
2022-05-12-11-20-18	;Shutter is open;	STATUS=?
2022-05-12-11-20-31	;Shutter is open;	STATUS=?
2022-05-12-11-20-45	;Press <STOP> to shut down;	STATUS=?
2022-05-12-11-20-48	;LASER is RUNNING;	STATUS=?
2022-05-12-11-20-52	;Press <STOP> to shut down;	STATUS=?
2022-05-12-11-20-54	;LASER is RUNNING;	STATUS=?
2022-05-12-11-20-57	;Shutter is open;	STATUS=?
2022-05-12-11-20-59	;LASER is RUNNING;	STATUS=?
2022-05-12-11-21-02	;Shutter is open;	STATUS=?
2022-05-12-11-21-07	;LASER is RUNNING;	STATUS=?
2022-05-12-11-21-14	;LASER is RUNNING;	STATUS=?
2022-05-12-11-21-17	;Press <STOP> to shut down;	STATUS=?
2022-05-12-11-21-20	;LASER is RUNNING;	STATUS=?
2022-05-12-11-21-27	;Shutter is open;	STATUS=?
2022-05-12-11-21-35	;Shutter is open;	STATUS=?
2022-05-12-11-21-37	;LASER is RUNNING;	STATUS=?
2022-05-12-11-21-45	;LASER is RUNNING;	SHUTTER:0
2022-05-12-11-21-48	;Press <STOP> to shut down;	STATUS=?
2022-05-12-11-21-51	;LASER is RUNNING;	STATUS=?
2022-05-12-11-21-53	;Shutter is closed;	STATUS=?
2022-05-12-11-22-08	;Press <STOP> to shut down;	STATUS=?
2022-05-12-11-22-53	;Maintenance;	SHUTTER:1
2022-05-12-11-22-59	;Maintenance;	STATUS=?
2022-05-12-11-23-02	;1 Error detected !;	STATUS=?
2022-05-12-11-41-15	;;	STATUS=?
2022-05-12-11-41-19	;1 Error detected !;	STATUS=?
2022-05-12-12-02-38	;1 Error detected !;	STATUS=?
2022-05-12-12-02-40	;;	STATUS=?
2022-05-12-12-02-42	;;	STATUS=?
2022-05-12-12-02-44	;Maintenance;	STATUS=?
2022-05-12-12-03-49	;;	STATUS=?
2022-05-12-12-04-39	;Maintenance;	STATUS=?
2022-05-12-13-13-46	;Maintenance;	STATUS=?
2022-05-12-13-13-48	;1 Error detected !;	STATUS=?
2022-05-13-08-53-24	;1 Error detected !;	STATUS=?
2022-05-13-08-53-27	;Maintenance;	STATUS=?
2022-05-13-10-27-11	;;	STATUS=?
2022-05-13-10-27-12	;Maintenance;	STATUS=?
2022-05-13-10-27-14	;STANDBY;	CLEAR_ERROR
2022-05-13-10-27-16	;<KEY SWITCH> is On;	STATUS=?
2022-05-13-10-27-19	;Press <START> to turn on;	START
2022-05-13-10-30-30	;System Warmup;Waiting for pump: 122 s	STATUS=?
2022-05-13-10-39-49	;Shutter is closed;	STATUS=?
2022-05-13-10-39-51	;Press <STOP> to shut down;	STATUS=?
2022-05-13-10-39-53	;Press <STOP> to shut down;	STATUS=?
2022-05-13-10-39-54	;LASER is RUNNING;	STATUS=?
2022-05-13-11-24-14	;Press <STOP> to shut down;	STATUS=?
2022-05-13-11-24-15	;LASER is RUNNING;	STATUS=?
2022-05-13-11-24-25	;Press <STOP> to shut down;	START
2022-05-13-11-24-34	;LASER is RUNNING;	STATUS=?
2022-05-13-11-28-27	;LASER is RUNNING;	STATUS=?
2022-05-13-11-28-30	;Shutter is closed;	STATUS=?
2022-05-13-11-28-33	;LASER is RUNNING;	STATUS=?
2022-05-13-11-28-40	;LASER is RUNNING;	STATUS=?
2022-05-13-11-28-46	;LASER is RUNNING;	SHUTTER:1
2022-05-13-11-28-50	;Press <STOP> to shut down;	STATUS=?
2022-05-13-11-28-53	;LASER is RUNNING;	STATUS=?
2022-05-13-11-28-55	;Shutter is open;	STATUS=?
2022-05-13-11-34-56	;Press <STOP> to shut down;	STATUS=?
2022-05-13-11-34-59	;LASER is RUNNING;	STATUS=?
2022-05-13-11-35-01	;Shutter is open;	STATUS=?
2022-05-13-11-37-09	;Press <STOP> to shut down;	STATUS=?
2022-05-13-11-40-14	;LASER is RUNNING;	STATUS=?
2022-05-13-11-40-19	;LASER is RUNNING;	STATUS=?
2022-05-13-11-40-22	;Shutter is open;	STATUS=?
2022-05-13-11-44-41	;Shutter is open;	STATUS=?
2022-05-13-11-44-44	;LASER is RUNNING;	STATUS=?
2022-05-13-11-44-48	;Shutter is open;	STATUS=?
2022-05-13-11-52-40	;Shutter is open;	STATUS=?
2022-05-13-11-53-59	;LASER is RUNNING;	STATUS=?
2022-05-13-11-54-03	;Shutter is open;	STATUS=?
2022-05-13-12-00-22	;Press <STOP> to shut down;	STATUS=?
2022-05-13-12-00-24	;LASER is RUNNING;	STATUS=?
2022-05-13-16-00-53	;LASER is RUNNING;	STATUS=?
2022-05-13-16-00-55	;Shutter is open;	STATUS=?
2022-05-13-17-28-17	;Press <STOP> to shut down;	SHUTTER:0
2022-05-13-17-28-20	;LASER is RUNNING;	STOP
2022-05-13-17-28-23	;Shutter is closed;	STATUS=?
2022-05-13-17-28-26	;System Shutdown;Setting diodes 3.82A	STATUS=?
2022-05-16-09-24-30	;STANDBY;	STATUS=?
2022-05-16-09-24-32	;<KEY SWITCH> is On;	STATUS=?
2022-05-16-09-24-34	;Press <START> to turn on;	STATUS=?
2022-05-16-09-24-38	;<KEY SWITCH> is On;	START
2022-05-16-09-24-41	;Press <START> to turn on;	STATUS=?
2022-05-16-09-24-44	;System Warmup;Setting diodes 4.77A	STATUS=?
2022-05-16-09-24-48	;Elapsed Time: 5 sec;Waiting for pump: 297 s	STATUS=?
2022-05-16-09-24-50	;Press <STOP> to abort warmup;Waiting for pump: 295 s	STATUS=?
2022-05-16-09-38-40	;Shutter is closed;	STATUS=?
2022-05-16-09-38-42	;Press <STOP> to shut down;	STATUS=?
2022-05-16-09-38-51	;LASER is RUNNING;	STATUS=?
2022-05-16-09-38-54	;Shutter is closed;	STATUS=?
2022-05-16-09-43-36	;Shutter is closed;	STATUS=?
2022-05-16-09-43-39	;Press <STOP> to shut down;	STATUS=?
2022-05-16-09-43-42	;LASER is RUNNING;	STATUS=?
2022-05-16-16-45-45	;Press <STOP> to shut down;	STOP
2022-05-17-08-00-38	;<KEY SWITCH> is On;	STATUS=?
2022-05-17-08-00-43	;<KEY SWITCH> is On;	START
2022-05-17-08-00-52	;Wait for warmup...;Waiting for pump: 298 s	STATUS=?
2022-05-17-08-00-56	;Press <STOP> to abort warmup;Waiting for pump: 294 s	STATUS=?
2022-05-17-08-01-00	;Wait for warmup...;Waiting for pump: 290 s	STATUS=?
2022-05-17-08-01-21	;System Warmup;Waiting for pump: 269 s	STATUS=?
2022-05-17-08-01-26	;Elapsed Time: 39 sec;Waiting for pump: 263 s	STATUS=?
2022-05-17-08-01-30	;System Warmup;Waiting for pump: 260 s	STATUS=?
2022-05-17-08-01-37	;Press <STOP> to abort warmup;Waiting for pump: 253 s	STATUS=?
2022-05-17-08-34-56	;Shutter is closed;	STATUS=?
2022-05-17-08-40-40	;LASER is RUNNING;	STATUS=?
2022-05-17-08-49-13	;Shutter is closed;	STATUS=?
2022-05-17-09-00-32	;LASER is RUNNING;	SHUTTER:1
2022-05-17-09-00-39	;LASER is RUNNING;	STATUS=?
2022-05-17-09-00-41	;Shutter is open;	STATUS=?
2022-05-17-12-03-56	;LASER is RUNNING;	STATUS=?
2022-05-17-12-03-58	;Shutter is open;	STATUS=?
2022-05-17-12-04-28	;LASER is RUNNING;	STATUS=?
2022-05-17-13-36-02	;;	STATUS=?
2022-05-17-13-36-03	;Maintenance;	STATUS=?
2022-05-17-15-51-17	;1 Error detected !;	STATUS=?
2022-05-17-15-51-20	;STANDBY;	CLEAR_ERROR
2022-05-17-15-51-24	;Press <START> to turn on;	START
2022-05-17-15-51-51	;Elapsed Time: 22 sec;Waiting for pump: 286 s	STATUS=?
2022-05-17-15-54-35	;System Warmup;Waiting for pump: 122 s	STATUS=?
2022-05-17-15-55-40	;Press <STOP> to abort warmup;Waiting for pump: 57 s	STATUS=?
2022-05-17-15-57-01	;Elapsed Time: 5 min 32 s;Wait for Beam Loop 2-X (1)	STATUS=?
2022-05-17-15-57-50	;Wait for warmup...;Wait for Beam Loop 2-Y (2)	STATUS=?
2022-05-17-15-58-12	;System Warmup;Wait for Power Stabilization	STATUS=?
2022-05-17-15-58-23	;Wait for warmup...;Wait for Power Stabilization	STATUS=?
2022-05-17-15-59-16	;Elapsed Time: 7 min 46 s;Wait for Power Stabilization	STATUS=?
2022-05-17-15-59-36	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-17-16-00-14	;LASER is RUNNING;	STATUS=?
2022-05-17-16-00-18	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-00-22	;Shutter is closed;	STATUS=?
2022-05-17-16-00-31	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-00-43	;Press <STOP> to shut down;	SHUTTER:1
2022-05-17-16-01-06	;Shutter is open;	STATUS=?
2022-05-17-16-03-15	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-03-17	;LASER is RUNNING;	STATUS=?
2022-05-17-16-03-20	;Shutter is open;	STATUS=?
2022-05-17-16-03-50	;Shutter is open;	STATUS=?
2022-05-17-16-03-53	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-05-01	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-05-39	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-05-56	;Shutter is open;	IDN?
2022-05-17-16-06-27	;LASER is RUNNING;	STATUS=?
2022-05-17-16-06-30	;Press <STOP> to shut down;	IDN?
2022-05-17-16-06-37	;Press <STOP> to shut down;	*IDN?
2022-05-17-16-08-54	;Shutter is open;	*STB?
2022-05-17-16-09-29	;LASER is RUNNING;	READ:DIODE1:HOUR?
2022-05-17-16-09-32	;Press <STOP> to shut down;	READ:DIODE1:HOUR?
2022-05-17-16-09-45	;Shutter is open;	*READ:DIODE1:HOUR?
2022-05-17-16-09-54	;LASER is RUNNING;	*IDN?
2022-05-17-16-10-06	;Press <STOP> to shut down;	*IDN?
2022-05-17-16-12-31	;Press <STOP> to shut down;	*STB?
2022-05-17-16-12-33	;LASER is RUNNING;	*STB?
2022-05-17-16-12-35	;Shutter is open;	*STB?
2022-05-17-16-12-47	;Shutter is open;	*IDN?
2022-05-17-16-15-28	;LASER is RUNNING;	ON?
2022-05-17-16-15-30	;Shutter is open;	ON?
2022-05-17-16-18-39	;Shutter is open;	?IDN
2022-05-17-16-18-46	;Shutter is open;	IDN=?
2022-05-17-16-18-55	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-19-26	;Press <STOP> to shut down;	C1?
2022-05-17-16-19-32	;Press <STOP> to shut down;	C1=?
2022-05-17-16-19-39	;Press <STOP> to shut down;	*C1?
2022-05-17-16-20-48	;Press <STOP> to shut down;	PSET?
2022-05-17-16-20-52	;Shutter is open;	PSET=?
2022-05-17-16-21-47	;LASER is RUNNING;	SHUTTER?
2022-05-17-16-21-53	;LASER is RUNNING;	SHUTTER:?
2022-05-17-16-21-58	;Press <STOP> to shut down;	SHUTTER:?
2022-05-17-16-22-01	;LASER is RUNNING;	STATUS=?
2022-05-17-16-22-03	;Shutter is closed;	STATUS=?
2022-05-17-16-22-15	;Shutter is closed;	SHUTTER:1
2022-05-17-16-22-21	;Shutter is open;	STATUS=?
2022-05-17-16-22-25	;LASER is RUNNING;	STATUS=?
2022-05-17-16-22-32	;LASER is RUNNING;	SHUTTER:?
2022-05-17-16-22-35	;Press <STOP> to shut down;	STATUS=?
2022-05-17-16-22-37	;LASER is RUNNING;	STATUS=?
2022-05-17-16-22-39	;Shutter is closed;	STATUS=?
2022-05-17-16-26-21	;Shutter is closed;	SHUTTER:1
2022-05-17-16-26-24	;LASER is RUNNING;	STATUS=?
2022-05-17-16-26-26	;Shutter is open;	STATUS=?
2022-05-17-16-26-34	;Shutter is closed;	SHUTTER:0
2022-05-17-16-28-00	;LASER is RUNNING;	STATUS=?
2022-05-17-16-28-05	;LASER is RUNNING;	STATUS=?
2022-05-17-16-29-09	;LASER is RUNNING;	STATUS=?
2022-05-17-16-29-11	;Shutter is closed;	STATUS=?
2022-05-17-16-29-14	;LASER is RUNNING;	STOP
2022-05-17-16-29-23	;System Shutdown;Pump current ramping: 3.82A	STATUS=?
2022-05-17-16-29-35	;STANDBY;	STATUS=?
2022-05-17-16-31-49	;<KEY SWITCH> is On;	STATUS=?
2022-05-17-16-31-53	;STANDBY;	STATUS=?
2022-05-17-16-37-43	;Press <START> to turn on;	STATUS=?
2022-05-17-17-21-56	;<KEY SWITCH> is On;	STATUS=?
2022-05-17-17-22-00	;STANDBY;	STATUS=?
2022-05-17-17-22-18	1.1rc07;	STATUS=?
2022-05-17-17-22-51	;STANDBY;	STATUS=?
2022-05-17-17-22-52	;<KEY SWITCH> is On;	STATUS=?
2022-05-18-07-31-44	;Press <START> to turn on;	STATUS=?
2022-05-18-07-31-46	;STANDBY;	START
2022-05-18-07-31-57	;Elapsed Time: 6 sec;Waiting for pump: 296 s	STATUS=?
2022-05-18-07-32-19	;Wait for warmup...;Waiting for pump: 274 s	STATUS=?
2022-05-18-07-33-11	;Elapsed Time: 1 min 21 s;Waiting for pump: 221 s	STATUS=?
2022-05-18-08-40-55	;1 Error detected !;	STATUS=?
2022-05-18-08-40-57	;;	STATUS=?
2022-05-18-08-40-59	;;	STATUS=?
2022-05-18-08-41-00	;Maintenance;	STATUS=?
2022-05-18-08-41-13	;STANDBY;	CLEAR_ERROR
2022-05-18-08-41-15	;<KEY SWITCH> is On;	START
2022-05-18-08-41-18	;Press <START> to turn on;	STATUS=?
2022-05-18-08-41-23	;Elapsed Time: 4 sec;Turning on pump laser	STATUS=?
2022-05-18-08-41-25	;Press <STOP> to abort warmup;Setting diodes 4.77A	STATUS=?
2022-05-18-08-41-29	;System Warmup;Waiting for pump: 298 s	STATUS=?
2022-05-18-08-41-35	;Press <STOP> to abort warmup;Waiting for pump: 292 s	STATUS=?
2022-05-18-09-17-37	;;	STATUS=?
2022-05-18-09-17-38	;Maintenance;	STATUS=?
2022-05-18-09-36-14	;Maintenance;	STATUS=?
2022-05-18-09-36-20	;Maintenance;	STATUS=?
2022-05-18-09-49-16	;Elapsed Time: 29 sec;Waiting for pump: 279 s	STATUS=?
2022-05-18-09-49-17	;Elapsed Time: 31 sec;Waiting for pump: 277 s	STATUS=?
2022-05-18-09-49-19	;Press <STOP> to abort warmup;Waiting for pump: 275 s	STATUS=?
2022-05-18-09-49-21	;System Warmup;Waiting for pump: 273 s	STATUS=?
2022-05-18-10-30-01	;Press <START> to turn on;	STATUS=?
2022-05-18-10-30-04	;STANDBY;	STATUS=?
2022-05-18-10-30-10	;STANDBY;	START
2022-05-18-10-30-17	;Wait for warmup...;Turning on pump laser	STATUS=?
2022-05-18-11-20-51	;Maintenance;	STATUS=?
2022-05-18-11-24-41	;1 Error detected !;	STATUS=?
2022-05-18-11-24-43	;;	STATUS=?
2022-05-18-11-24-45	;Maintenance;	STATUS=?
2022-05-18-11-24-49	;;	START
2022-05-18-11-50-38	;1 Error detected !;	STATUS=?
2022-05-18-12-51-45	;STANDBY;	STATUS=?
2022-05-18-13-48-15	;Press <STOP> to abort warmup;Waiting for pump: 268 s	STATUS=?
2022-05-18-13-48-17	;System Warmup;Waiting for pump: 266 s	STATUS=?
2022-05-18-13-48-20	;Wait for warmup...;Waiting for pump: 263 s	STATUS=?
2022-05-18-13-48-24	;Press <STOP> to abort warmup;Waiting for pump: 259 s	STATUS=?
2022-05-18-13-49-13	;Elapsed Time: 1 min 38 s;Waiting for pump: 210 s	STATUS=?
2022-05-18-13-50-30	;Press <STOP> to abort warmup;Waiting for pump: 134 s	STATUS=?
2022-05-18-13-50-31	;Press <STOP> to abort warmup;Waiting for pump: 133 s	STATUS=?
2022-05-18-13-50-33	;System Warmup;Waiting for pump: 131 s	STATUS=?
2022-05-18-13-50-34	;Wait for warmup...;Waiting for pump: 129 s	STATUS=?
2022-05-18-13-57-04	;1 Error detected !;	STATUS=?
2022-05-19-08-29-37	;Press <START> to turn on;	STATUS=?
2022-05-19-08-29-44	;Press <START> to turn on;	START
2022-05-19-08-29-51	;Wait for warmup...;Waiting for pump: 299 s	STATUS=?
2022-05-19-08-30-33	;Wait for warmup...;Waiting for pump: 257 s	STATUS=?
2022-05-19-08-36-13	;Press <STOP> to abort;Wait for Power Stabilization	STATUS=?
2022-05-19-08-36-17	;Wait for warmup...;Wait for Power Stabilization	STATUS=?
2022-05-19-08-36-20	;Elapsed Time: 6 min 32 s;Wait for Power Stabilization	STATUS=?
2022-05-19-08-36-22	;Press <STOP> to abort;Wait for Power Stabilization	STATUS=?
2022-05-19-08-36-34	;Wait for warmup...;Wait for Power Stabilization	STATUS=?
2022-05-19-08-39-00	;LASER is RUNNING;	STATUS=?
2022-05-19-08-39-03	;Press <STOP> to shutd.;	STATUS=?
2022-05-19-08-39-11	;LASER is RUNNING;	STATUS=?
2022-05-19-08-39-17	;LASER is RUNNING;	STATUS=?
2022-05-19-10-33-20	;LASER is RUNNING;	SHUTTER:1
2022-05-19-11-20-50	;LASER is RUNNING;	STATUS=?
2022-05-19-11-20-52	;Shutter is open;	STATUS=?
2022-05-19-11-20-54	;Press <STOP> to shutd.;	STATUS=?
2022-05-19-11-21-12	;Shutter is open;	STATUS=?
2022-05-19-11-21-33	;Press <STOP> to shutd.;	STATUS=?
2022-05-19-11-22-52	;Shutter is open;	STATUS=?
2022-05-19-11-36-48	Press <STOP> to shutd.	STATUS=?
2022-05-19-11-36-49	LASER is RUNNING	STATUS=?
2022-05-19-13-00-42	LASER is RUNNING	STOP
2022-05-19-13-00-46	System ShutdownClosing shutter	STATUS=?
2022-05-19-13-01-00	System ShutdownPump current ramping: 4.78A	STATUS=?
2022-05-19-13-01-12	Press <START> to turn on	STATUS=?
2022-05-19-13-53-44	<KEY SWITCH> is On	STATUS=?
2022-05-19-13-53-45	Press <START> to turn on	STATUS=?
2022-05-19-13-53-47	STANDBY	CLEAR_WAKEUP
2022-05-19-13-55-42	STANDBY	STATUS=?
2022-05-19-13-55-45	Press <START> to turn on	STATUS=?
2022-05-19-14-00-12	STANDBY	CLEAR_WAKEUP
2022-05-19-14-00-14	<KEY SWITCH> is On	STATUS=?
2022-05-19-15-01-33	Press <START> to turn on	STATUS=?
2022-05-19-15-07-51	Press <START> to turn on	STATUS=?
2022-05-19-15-08-04	Press <START> to turn on	STATUS=?
2022-05-19-15-08-13	STANDBY	STATUS=?
2022-05-19-15-08-40	<KEY SWITCH> is On	STATUS=?
2022-05-19-15-08-43	STANDBY	STATUS=?
2022-05-19-15-10-34	Press <START> to turn on	SET_DATETIME:2022-05-19-15-10-34
2022-05-19-15-14-15	Press <START> to turn on	STATUS=?
2022-05-23-09-03-27	STANDBY	STATUS=?
2022-05-23-09-03-30	Press <START> to turn on	START
2022-05-23-09-03-36	Wait for warmup...Waiting for pump: 300 s	STATUS=?
2022-05-23-09-03-42	Press <STOP> to abortWaiting for pump: 294 s	STATUS=?
2022-05-23-09-03-50	Press <STOP> to abortWaiting for pump: 286 s	STATUS=?
2022-05-23-09-04-39		STATUS=?
2022-05-23-09-04-47	Elapsed Time: 1 min 12 sWaiting for pump: 230 s	STATUS=?
2022-05-23-09-04-50	System WarmupWaiting for pump: 226 s	STATUS=?
2022-05-23-09-08-21	System WarmupWaiting for pump: 15 s	STATUS=?
2022-05-23-09-08-31	Wait for warmup...Waiting for pump: 6 s	STATUS=?
2022-05-23-09-08-38	System WarmupWait after beam loops	STATUS=?
2022-05-23-09-08-58	Elapsed Time: 5 min 23 sWait for Beam Loop 2-Y (1)	STATUS=?
2022-05-23-09-09-31	Elapsed Time: 5 min 57 sWait for Power Stabilization	STATUS=?
2022-05-23-09-29-00	1 Error detected !	STATUS=?
2022-05-23-09-41-57	STANDBY	CLEAR_ERROR
2022-05-23-09-41-59	<KEY SWITCH> is On	START
2022-05-23-09-42-02	Press <START> to turn on	STATUS=?
2022-05-23-09-42-05	System WarmupTurning on pump laser	STATUS=?
2022-05-23-10-03-26		STATUS=?
2022-05-23-10-03-27		STATUS=?
2022-05-23-10-03-29	Maintenance	STATUS=?
2022-05-23-10-03-32		STATUS=?
2022-05-23-10-03-33		STATUS=?
2022-05-23-10-03-35	Maintenance	STATUS=?
2022-05-23-10-03-38	STANDBY	CLEAR_ERROR
2022-05-23-10-03-41	<KEY SWITCH> is On	START
2022-05-23-10-03-47	Wait for warmup...Turning on pump laser	STATUS=?
2022-05-23-10-04-38	Wait for warmup...Waiting for pump: 255 s	STATUS=?
2022-05-23-10-04-41	Elapsed Time: 55 secWaiting for pump: 252 s	STATUS=?
2022-05-23-10-12-34	Press <STOP> to abortWait for Power Stabilization	STATUS=?
2022-05-23-10-13-53	Wait for warmup...Wait for Power Stabilization	STATUS=?
2022-05-23-10-16-50	Wait for warmup...Wait for Power Stabilization	STATUS=?
2022-05-23-10-16-53	Press <STOP> to abortWait for Power Stabilization	STATUS=?
2022-05-23-10-17-24	Wait for warmup...Wait for Power Stabilization	STATUS=?
2022-05-23-10-17-28	Press <STOP> to abortWait for Power Stabilization	STATUS=?
2022-05-23-10-17-29	System WarmupWait for Power Stabilization	STATUS=?
2022-05-23-10-17-42	Elapsed Time: 13 min 56 sWait for Power Stabilization	STATUS=?
2022-05-23-10-19-06	Elapsed Time: 15 min 20 sWait for Power Stabilization	STATUS=?
2022-05-23-10-19-10	System WarmupWait for Power Stabilization	STATUS=?
2022-05-23-10-19-13	Wait for warmup...Wait for Power Stabilization	STATUS=?
2022-05-23-10-19-34	Press <STOP> to abortWait for Power Stabilization	STATUS=?
